simtime														
0	0													
0.1	1.29676													
0.2	2.58704													
0.3	3.8709													
0.4	5.14834													
0.5	6.41942													
0.6	7.68416													
0.7	8.94259													
0.8	10.1947													
0.9	11.4407													
1	12.6803												0.109725	0.1
1.1	13.9139												0.218904	0.2
1.2	15.1412												0.327537	0.3
1.3	16.3625												0.435629	0.4
1.4	17.5776												0.543182	0.5
1.5	18.7867												0.650198	0.6
1.6	19.9897												0.756681	0.7
1.7	0												0.862632	0.8
1.8	1.29676												0.968055	0.9
1.9	2.58704												1.07295	1
2	3.8709												1.17733	1.1
2.1	5.14834												1.28118	1.2
2.2	6.41942												1.38452	1.3
2.3	7.68416												1.48734	1.4
2.4	8.94259												1.58964	1.5
2.5	10.1947												1.69144	1.6
2.6	11.4407												1.79273	1.7
2.7	12.6803												1.89351	1.8
2.8	13.9139												1.9938	1.9
2.9	15.1412												2.09358	2
3	16.3625												2.19286	2.1
3.1	17.5776												2.29165	2.2
3.2	18.7867												2.38994	2.3
3.3	19.9897												2.48775	2.4
3.4	0												2.58507	2.5
													2.6819	2.6
													2.77825	2.7
													2.87412	2.8
													2.96951	2.9
													3.06442	3
													3.15887	3.1
													3.25284	3.2
													3.34634	3.3
													3.43937	3.4
													3.53195	3.5
													3.62406	3.6
													3.71571	3.7
													3.8069	3.8
													3.89764	3.9
													3.98792	4
													4.07776	4.1
													4.16715	4.2
													4.25609	4.3
													4.34459	4.4
													4.43264	4.5
													4.52026	4.6
													4.60744	4.7
													4.69419	4.8
													4.7805	4.9
													4.86638	5
													4.95184	5.1
													5.03687	5.2
													5.12147	5.3
													5.20565	5.4
													5.28941	5.5
													5.37276	5.6
													5.45569	5.7
													5.5382	5.8
													5.62031	5.9
													5.702	6
													5.78329	6.1
													5.86417	6.2
													5.94464	6.3
													6.02472	6.4
													6.1044	6.5
													6.18368	6.6
													6.26256	6.7
													6.34105	6.8
													6.41915	6.9
													6.49686	7
													6.57418	7.1
													6.65112	7.2
													6.72767	7.3
													6.80384	7.4
													6.87964	7.5
													6.95505	7.6
													7.03009	7.7
													7.10475	7.8
													7.17904	7.9
													7.25296	8
													7.32651	8.1
													7.39969	8.2
													7.47251	8.3
													7.54497	8.4
													7.61706	8.5
													7.6888	8.6
													7.76018	8.7
													7.8312	8.8
													7.90187	8.9
													7.97218	9
													8.04214	9.1
													8.11176	9.2
													8.18103	9.3
													8.24995	9.4
													8.31853	9.5
													8.38677	9.6
													8.45466	9.7
													8.52222	9.8
													8.58944	9.9
													8.65633	10
													8.72288	10.1
													8.7891	10.2
													8.85499	10.3
													8.92055	10.4
													8.98578	10.5
													9.05069	10.6
													9.11528	10.7
													9.17954	10.8
													9.24348	10.9
													9.3071	11
													9.37041	11.1
													9.4334	11.2
													9.49608	11.3
													9.55844	11.4
													9.62049	11.5
													9.68224	11.6
													9.74367	11.7
													9.8048	11.8
													9.86562	11.9
													9.92614	12
													9.98636	12.1
													10.0463	12.2
													10.1059	12.3
													10.1652	12.4
													10.2242	12.5
													10.283	12.6
													10.3414	12.7
													10.3996	12.8
													10.4574	12.9
													10.515	13
													10.5723	13.1
													10.6293	13.2
													10.686	13.3
													10.7424	13.4
													10.7986	13.5
													10.8544	13.6
													10.91	13.7
													10.9653	13.8
													11.0204	13.9
													11.0751	14
													11.1296	14.1
													11.1838	14.2
													11.2378	14.3
													11.2915	14.4
													11.3449	14.5
													11.398	14.6
													11.4509	14.7
													11.5035	14.8
													11.5558	14.9
													11.6079	15
													11.6598	15.1
													11.7113	15.2
													11.7627	15.3
													11.8137	15.4
													11.8645	15.5
													11.9151	15.6
													11.9654	15.7
													12.0154	15.8
													12.0652	15.9
													12.1148	16
													12.1641	16.1
													12.2131	16.2
													12.2619	16.3
													12.3105	16.4
													12.3588	16.5
													12.4069	16.6
													12.4548	16.7
													12.5024	16.8
													12.5497	16.9
													12.5969	17
													12.6438	17.1
													12.6904	17.2
													12.7369	17.3
													12.7831	17.4
													12.829	17.5
													12.8748	17.6
													12.9203	17.7
													12.9656	17.8
													13.0106	17.9
													13.0555	18
													13.1001	18.1
													13.1445	18.2
													13.1886	18.3
													13.2326	18.4
													13.2763	18.5
													13.3198	18.6
													13.3631	18.7
													13.4062	18.8
													13.449	18.9
													13.4917	19
													13.5341	19.1
													13.5764	19.2
													13.6184	19.3
													13.6602	19.4
													13.7018	19.5
													13.7432	19.6
													13.7843	19.7
													13.8253	19.8
													13.8661	19.9
													13.9067	20
													13.947	20.1
													13.9872	20.2
													14.0271	20.3
													14.0669	20.4
													14.1065	20.5
													14.1458	20.6
													14.185	20.7
													14.224	20.8
													14.2628	20.9
													14.3014	21
													14.3398	21.1
													14.378	21.2
													14.416	21.3
													14.4538	21.4
													14.4914	21.5
													14.5289	21.6
													14.5662	21.7
													14.6032	21.8
													14.6401	21.9
													14.6768	22
													14.7134	22.1
													14.7497	22.2
													14.7859	22.3
													14.8218	22.4
													14.8576	22.5
													14.8933	22.6
													14.9287	22.7
													14.964	22.8
													14.9991	22.9
													15.034	23
													15.0687	23.1
													15.1033	23.2
													15.1377	23.3
